//,,,,,
nID,sName,nPrice,nWeight,tQualityWeight,tAward
i,s,i,i,t{ii},t{iiib}
宝箱ID,宝箱名称,开启价格,生成权重,"品质权重(品质[1-5], 对应权重)","奖励(物品类型,物品ID,物品数量,是否绑定)"
1,1,1000,100,"1,100;2,100,3,100;4,100;5,100;","0,0,0,0;"
2,2,1000,100,"1,100;2,100,3,100;4,100;5,100;","0,0,0,0;"
3,3,1000,100,"1,100;2,100,3,100;4,100;5,100;","0,0,0,0;"
4,4,1000,100,"1,100;2,100,3,100;4,100;5,100;","0,0,0,0;"
5,5,1000,100,"1,100;2,100,3,100;4,100;5,100;","0,0,0,0;"
6,6,1000,100,"1,100;2,100,3,100;4,100;5,100;","0,0,0,0;"
7,7,1000,100,"1,100;2,100,3,100;4,100;5,100;","0,0,0,0;"
8,8,1000,100,"1,100;2,100,3,100;4,100;5,100;","0,0,0,0;"
9,9,1000,100,"1,100;2,100,3,100;4,100;5,100;","0,0,0,0;"
10,10,1000,100,"1,100;2,100,3,100;4,100;5,100;","0,0,0,0;"
