//成长属性系数,,"101气血, 104攻击,105防御,106灵力,107速度"
nRoleConfID,sName,tAttrRatio
i,s,t{ii}
角色配置ID,名称,"属性资质(所影响的属性ID,数值)"
1,剑修男,"101,71;104,143;105,71;107,300;106,414;"
2,剑修女,"101,71;104,143;105,71;107,300;106,414;"
3,道修男,"101,142;104,29;105,71;107,157;106,600;"
4,道修女,"101,142;104,29;105,71;107,157;106,600;"
5,佛修男,"101,213;104,29;105,214;107,300;106,243;"
6,佛修女,"101,213;104,29;105,214;107,300;106,243;"
7,力修男,"101,71;104,143;105,71;107,300;106,414;"
8,力修女,"101,71;104,143;105,71;107,300;106,414;"
9,鬼修男,"101,142;104,29;105,143;107,471;106,214;"
10,鬼修女,"101,142;104,29;105,143;107,471;106,214;"
